gameId,gameLoad(30days),StartDate(Stage),StartDate(Published),EndDate(Stage),EndDate(Published),Name(Stage),Name(Published),GameCenterId(Stage),GameCenterId(Published)
55002afe-67da-41bf-83c4-41d8eba5ad5e,,,2024-08-21 09:01:00,,,GC - Play for fun,GC - Play for fun,,4de206d0-75e7-4b64-92aa-c18e43ebe316
e13be546-73c9-4482-b65b-a5aea643928e,,,2024-10-27 22:59:00,,,GC - Play for fun,GC - Play for fun,,4de206d0-75e7-4b64-92aa-c18e43ebe316
7da9f3cf-238d-4cac-9191-367d65608c74,,,,,,Husman Nyheter 2025,evolve,,cff63f8b-5eba-4c79-b604-b17b2c5a1a75
0c463f2b-34c8-478d-b39e-1731717d9351,,2025-01-06 17:51:00,,2025-12-31 17:51:00,,Guitar Hero,Bingo Loco Hoops,,26535e56-7f3f-4b7e-9c63-e24d12f90c95
57832e4b-c5bf-4102-b05b-3c7ad58a2bb1,,2024-12-18 23:00:00,,2025-12-31 22:59:00,,Seniordaysspelet - April/Maj/juni,Seniordaysspelet - April/Maj/juni,,f4b05fd3-5e2c-4859-b5f3-cd8750895930
ad93111b-3156-439a-9546-f3c34a7837d7,,2025-01-06 17:51:00,,2025-12-31 17:51:00,,Guitar Hero,Torpedo,,26535e56-7f3f-4b7e-9c63-e24d12f90c95
ecec1c1d-d153-4887-b5cc-bf53d0438500,,,2025-03-06 23:00:00,,,GC - Play for fun,GC - Play for fun,,4de206d0-75e7-4b64-92aa-c18e43ebe316
1cf450fd-be02-4093-88a3-42f8d3cf10b9,,,2025-03-16 17:06:00,,2025-04-06 21:59:00,GC - Play for fun,GC - Play for fun,,4de206d0-75e7-4b64-92aa-c18e43ebe316
b4e72736-b41a-4ca5-adcd-21cc00923a9f,,2024-11-25 23:01:00,2024-11-25 23:01:00,2025-01-12 22:59:00,2025-01-12 22:59:00,CX_Julspel_2024,CX_Julspel_2024,,
fed1f277-2841-45f8-a150-71b639af8237,,2024-12-01 23:00:00,2024-12-01 23:00:00,2024-12-18 22:59:00,2024-12-18 22:59:00,Seniordaysspelet 1 - December,Seniordaysspelet 1 - December,,
756d7a2b-f95b-41ec-beab-fe76316a520b,,2025-04-02 04:56:00,,2025-06-30 21:59:00,2025-06-30 21:59:00,GC - COMP - Vinn Gratis Singeltvätt,GC - COMP - Vinn 50% på mån 1,,4de206d0-75e7-4b64-92aa-c18e43ebe316
4ab7a681-e3fa-40f2-b2cf-0d134d67d42a,,2024-12-09 23:01:00,2024-12-09 23:01:00,2025-01-07 22:59:00,2025-01-07 22:59:00,Flarie Winter Competition 2024,Flarie Winter Competition 2024,,
3e950843-f01c-48e0-a24e-a68c50b9af44,,,,2024-12-30 22:59:00,2024-12-30 22:59:00,Juleskum Jul,Juleskum Jul,97a7245a-c8f1-481d-99f3-357ca19942ec,
3cbed4fd-b65f-4362-8534-71ae893eba26,,2024-12-01 06:00:00,2024-12-01 06:00:00,2024-12-21 22:59:00,2024-12-21 22:59:00,03_EV_Travel_NO,03_EV_Travel_NO,,
cd420e9b-7e30-40c3-9e19-36a71cea5db8,,,,,,December 2024,December 2024,,
d6bc165c-3d05-403f-b637-16eec4219883,,2025-02-28 23:00:00,,2025-04-27 21:59:00,2025-04-27 21:59:00,Studentspelet- Februari,Påskspel - Student,,
11e8ce9c-35c2-47a6-877f-56ab4f2d0aec,,2024-12-16 23:00:00,2024-12-16 23:00:00,2024-12-31 22:59:00,2024-12-31 22:59:00,Alumnispelet 2 - December,Alumnispelet 2 - December,2e0a037d-32a1-442d-933d-52553ed4de48,
